age_midpoint,gender,occupation_group,experience_midpoint,salary_midpoint,programming_ability,job_satisfaction,commit_frequency,dogs_vs_cats,why_learn_new_tech
27,0,0,8,22000,7,2,0,1,2
27,0,0,3.2,12000,8,4,-1,1,2
32,0,13,0.2,12000,4,3,-2,-2,-2
37,0,8,13,12000,7,2,0,0,0
27,0,1,13,32000,10,0,0,0,3
27,0,12,3.2,12000,10,2,3,1,2
22,0,0,3.2,2000,2,0,2,0,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,1,0.2,2000,7,0,3,1,0
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,3.2,12000,7.103284031,3,3,1,4
22,0,0,3.2,12000,9,2,0,1,3
22,0,13,3.2,12000,8,0,5,-1,0
16,1,3,3.2,24162.92982,7,-2,2,0,4
32,0,9,0.2,2000,4,2,3,1,0
16,0,7,1.2,2000,7.103284031,-2,3,1,4
22,0,7,1.2,2000,9,2,5,1,0
32,0,0,13,22000,9,3,0,-2,6
27,0,0,8,22000,8,2,0,0,4
32,0,8,13,22000,8,2,0,-1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,12000,9,2,0,0,3
22,0,12,1.2,22000,7,2,5,1,2
27,0,1,8,22000,8,0,0,1,3
27,0,1,3.2,2000,7,2,0,1,3
37,0,0,13,12000,7,0,3,0,2
27,0,1,8,22000,8,3,3,0,-2
32,0,0,13,32000,9,0,0,0,0
32,0,13,13,22000,6,2,0,1,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,6,8,32000,7,2,0,1,2
22,0,7,3.2,2000,6,-2,4,-1,3
44.2,0,4,13,24162.92982,7,4,3,0,0
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,3.2,12000,6,-2,-2,-2,-2
32,0,0,3.2,32000,6,2,3,-1,0
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,12000,7,2,0,1,6
44.2,0,0,13,22000,8,2,3,1,3
27,0,0,1.2,12000,7,2,0,-1,0
32,0,3,8,22000,7,2,2,1,2
32,0,8,8,32000,8,2,2,1,2
22,0,7,3.2,2000,7,-2,3,0,2
27,0,13,8,24162.92982,8,2,0,0,3
37,0,0,13,42000,8,2,0,1,3
27,-2,1,8,32000,8,0,0,-1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,8,92000,9,0,0,0,3
22,0,0,8,12000,8,-2,0,1,2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,8,22000,8,0,0,1,2
24.2,0,0,13,42000,10,2,0,1,2
24.2,1,8,13,72000,10,0,0,0,0
27,0,0,3.2,22000,8,4,0,1,2
32,0,3,3.2,42000,7,0,2,-1,2
22,0,3,1.2,2000,6,0,0,1,2
37,0,17,8,42000,8,0,0,1,3
37,0,12,13,22000,8,0,0,1,2
32,0,2.032242613,8,12000,8,2,2,1,4
32,0,0,13,2000,7,3,0,1,0
32,0,0,8,22000,8,3,0,1,6
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,1.2,24162.92982,7,-2,4,1,4
27,0,2.032242613,3.2,42000,8,2,0,1,2
22,0,0,1.2,12000,7,3,4,0,2
22,0,7,0.2,2000,6,-2,0,0,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,3,13,62000,8,0,0,1,0
22,0,7,8,24162.92982,9,-2,0,0,3
22,0,12,3.2,2000,7,-2,2,0,2
32,0,3,8,42000,7,0,0,1,3
27,0,13,1.2,82000,6,-2,-2,-2,-2
62,0,6,13,2000,7,2,3,1,0
24.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,1,13,42000,8,2,0,1,2
44.2,1,0,13,22000,7,0,2,0,3
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,1,13,72000,9,0,0,-1,2
22,0,7,3.2,2000,7,-2,2,0,3
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,2.032242613,13,82000,9,3,-1,0,3
27,0,7,8,2000,7,-2,0,1,2
32,0,12,8,22000,6,2,2,0,2
32,0,1,1.2,32000,9,0,3,0,0
27,0,13,8,22000,2,0,0,1,3
16,0,7,3.2,2000,7,-2,-2,1,6
44.2,0,6,13,22000,8,2,0,1,2
22,0,1,3.2,42000,6,-2,-2,-2,-2
32,0,3,8,22000,8,2,0,0,3
27,0,0,8,22000,7,0,0,1,3
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,11,1.2,24162.92982,3,-2,5,1,2
22,0,7,3.2,2000,6,-2,3,0,2
32,0,11,8,72000,7,2,0,0,0
27,0,12,1.2,42000,7,0,2,0,2
22,0,3,3.2,42000,2,0,0,0,3
27,0,1,3.2,32000,8,-2,0,0,3
22,0,7,3.2,12000,8,-2,3,0,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,1,2.032242613,13,62000,7,0,3,-1,2
37,0,2.032242613,13,42000,2,0,0,-1,3
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,8,24162.92982,7,-2,3,1,3
22,0,0,0.2,32000,2,0,0,0,2
37,0,0,13,72000,7,2,0,-1,3
44.2,0,8,13,102000,10,3,5,-1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,3.2,32000,2,2,2,1,2
27,0,1,8,22000,4,2,0,0,2
37,0,0,1.2,32000,6,2,3,0,2
27,0,13,3.2,22000,4,2,0,1,2
44.2,0,9,13,72000,7,2,0,0,3
44.2,0,8,13,112000,9,0,3,0,2
44.2,0,0,8,32000,6,2,3,0,2
27,0,1,3.2,42000,7,0,0,0,3
27,0,0,8,2000,8,-2,3,1,6
37,0,7,1.2,32000,2,-2,4,0,6
27,0,8,8,92000,10,0,0,1,0
37,0,12,13,92000,10,0,0,0,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,19,3.2,12000,8,-2,0,0,0
32,0,14,8,24162.92982,8,2,0,1,3
44.2,0,16,13,162000,7,2,3,0,4
32,0,0,13,132000,8,2,0,-1,3
22,0,18,3.2,32000,6,0,0,0,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,1.2,2000,6,-2,-2,-2,-2
44.2,0,16,13,12000,6,3,0,0,0
22,0,1,3.2,2000,8,3,3,0,2
27,0,0,8,32000,9,0,2,0,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,8,32000,7,0,0,-1,2
32,0,13,8,72000,7,3,0,0,3
16,0.032226183,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,8,62000,10,0,0,1,0
44.2,0,6,13,22000,6,0,0,1,0
27,0,2.032242613,3.2,122000,6,2,3,0,3
37,0,8,13,72000,8,3,0,1,2
44.2,0,0,3.2,62000,7,2,0,0,0
32,0,12,3.2,32000,9,2,2,0,3
22,1,1,3.2,42000,8,0,0,-1,3
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,0,13,102000,7,0,0,-1,2
22,0,2.032242613,1.2,12000,6,0,2,1,3
27,0,7,3.2,2000,7,-2,5,0,2
22,0,7,0.2,24162.92982,2,-2,4,1,2
22,0,1,8,42000,9,4,0,1,2
32,0,0,8,62000,6,4,0,0,3
16,0.032226183,0,13,24162.92982,8,-2,0,1,2
16,0,7,3.2,24162.92982,7.103284031,-2,2,-1,3
24.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,0,13,142000,8,4,0,-1,3
22,0,7,3.2,24162.92982,2,-2,2,1,2
27,0,0,3.2,42000,8,2,0,1,0
27,0,1,1.2,22000,4,3,0,1,2
24.2,0,11,13,92000,10,0,3,-2,0
44.2,0,13,8,42000,6,3,0,0,2
16,0,7,3.2,2000,6,-2,3,1,0
16,0,7,3.2,12000,7,-2,4,0,2
37,1,16,3.2,32000,2,0,3,0,3
22,1,8,3.2,24162.92982,6,-2,3,0,4
27,0,12,8,112000,8,0,0,1,2
32,0,0,8,22000,7,2,3,0,3
27,0,0,3.2,42000,7,4,0,1,3
44.2,0,0,13,42000,9,2,0,0,2
29.69039071,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,13,8,22000,8,2,0,1,3
27,0,0,3.2,32000,8,2,0,1,2
37,0,1,13,92000,8,-1,0,1,2
16,0,0,1.2,22000,8,0,2,0,2
27,0,3,3.2,32000,8,-2,-2,-2,-2
32,0,9,13,82000,8,2,0,1,2
37,0,8,8,132000,6,4,-2,-2,-2
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,0,8,92000,9,0,0,0,2
37,0,12,13,24162.92982,7,2,0,0,2
37,0,3,13,182000,7,0,3,-1,2
27,0,0,3.2,62000,7,-2,-2,-2,-2
22,0,0,8,32000,8,3,0,1,4
16,0,7,3.2,24162.92982,7,-2,3,1,2
37,0,8,13,172000,7,0,0,0,3
22,0,16,3.2,22000,8,0,2,0,2
32,0,0,13,22000,6,2,0,1,3
37,0,8,13,24162.92982,9,2,0,0,0
24.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,3.2,24162.92982,2,0,3,1,2
27,0,13,8,24162.92982,10,0,0,0,0
16,0,13,3.2,24162.92982,7,0,2,1,4
22,0,14,3.2,2000,9,4,0,0,3
22,0,7,3.2,24162.92982,6,-2,3,0,2
27,0,3,3.2,22000,7,0,0,-1,3
27,0,6,3.2,22000,8,0,0,-1,3
27,0,1,3.2,24162.92982,7,4,0,0,3
32,0,8,8,102000,7,2,0,-1,3
22,0,0,3.2,24162.92982,7,2,0,1,4
22,0,0,1.2,32000,6,2,2,0,2
16,0,7,8,2000,6,-2,5,1,2
16,0,7,3.2,24162.92982,7,-2,5,1,2
44.2,0,6,13,122000,10,0,5,0,4
44.2,0,13,13,122000,9,2,0,1,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,1.2,2000,3,-2,3,1,2
27,0,4,3.2,82000,7,4,-1,0,2
37,1,13,3.2,72000,10,0,0,0,4
37,0,0,13,62000,8,2,2,-1,2
27,0,13,3.2,72000,8,0,3,0,3
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,-2,1,13,102000,10,0,0,0,3
24.2,0,17,13,102000,7,2,3,0,0
44.2,0,2.032242613,13,24162.92982,7,-2,2,0,-1
32,0,0,1.2,42000,2,2,3,1,0
22,0,0,8,22000,7,2,0,0,4
24.2,0,0,13,82000,10,2,3,-1,0
24.2,0,0,13,132000,10,0,3,1,0
27,0,7,0.2,2000,3,-2,0,1,-2
32,0,0,13,142000,9,0,3,-2,3
22,0,8,1.2,24162.92982,6,-2,2,0,2
22,0,1,3.2,2000,7,0,2,-1,4
32,0,2,3.2,22000,7,-2,-2,-2,-2
27,0,7,3.2,2000,7,0,0,1,0
44.2,0,12,13,162000,9,3,0,0,0
27,0,6,1.2,62000,6,0,0,0,2
44.2,0,8,13,182000,9,4,2,-1,4
27,0,8,8,82000,3,2,-2,-2,-2
37,0,7,0.2,2000,7,-2,5,-1,6
16,0,7,1.2,2000,4,-2,3,1,6
24.2,0,1,13,2000,8,-2,3,1,6
32,0,0,8,122000,8,2,0,0,3
37,0,12,13,92000,8,4,0,1,0
27,0,6,1.2,2000,2,-2,3,1,6
27,1,13,1.2,32000,3,-2,5,1,6
44.2,0,12,13,210000,10,0,0,0,4
27,0,0,1.2,32000,10,0,0,-1,-1
22,0,7,3.2,2000,8,-2,3,0,0
44.2,0,13,13,72000,8,-2,0,0,2
44.2,0,8,13,42000,9,0,2,-1,2
44.2,0,0,8,62000,10,2,0,1,2
37,0,0,13,112000,6,0,0,1,6
22,0,1,3.2,24162.92982,6,-2,4,1,2
44.2,0,17,1.2,22000,7,0,2,0,0
37,0,1,13,92000,10,2,2,1,0
22,0,2.032242613,13,24162.92982,7,0,0,0,3
37,0,13,8,42000,7,3,0,0,6
32,0,10,8,192000,7,2,5,1,3
37,0,3,13,92000,7,0,0,1,0
27,0,8,1.2,92000,8,0,3,1,0
44.2,0,6,8,102000,7,3,2,1,6
44.2,0,0,13,42000,7,0,0,1,2
62,0,12,13,24162.92982,10,0,5,-1,2
32,0,9,13,182000,8,2,0,1,0
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,14,13,122000,7,0,0,1,2
37,0,8,13,210000,9,0,0,0,2
27,0,0,1.2,22000,8,2,0,1,2
27,1,4,3.2,112000,2,2,3,1,0
27,0,4,3.2,24162.92982,8,-2,-2,-2,-2
24.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,8,0.2,2000,4,-2,-2,-2,-2
44.2,0,0,13,112000,10,0,0,1,2
27,0,0,3.2,22000,7,3,3,1,3
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,13,8,92000,7,2,3,1,0
22,0,7,3.2,2000,7,-2,5,0,2
27,1,11,3.2,92000,4,0,4,0,0
16,0,3,1.2,24162.92982,2,-2,0,1,4
22,1,7,1.2,2000,2,-2,3,1,0
22,0,3,8,12000,7,-2,5,1,2
44.2,0,0,13,22000,7,2,0,1,0
24.2,0,0,13,22000,9,2,2,-1,2
32,0,0,8,72000,9,0,0,1,4
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,13,8,132000,10,0,0,1,2
32,0,0,1.2,22000,6,2,0,1,2
27,0,8,8,132000,8,2,3,1,6
37,0,18,13,122000,9,0,3,0,3
37,0,8,13,210000,10,0,4,1,0
27,0,6,3.2,92000,8,4,5,-1,3
32,0,0,3.2,112000,10,0,0,1,2
32,0,8,8,210000,8,2,5,1,3
22,0,7,3.2,122000,8,-2,5,1,2
27,0,7,3.2,12000,8,-2,3,1,2
32,0,3,8,142000,7,2,0,1,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,1.2,2000,8,-2,4,0,-1
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,1.2,2000,6,3,-2,-2,-2
27,0,0,8,32000,10,2,0,1,3
16,1,7,13,24162.92982,2,-2,-2,-2,-2
22,0,7,8,24162.92982,7.103284031,-2,2,0,2
32,0,7,3.2,12000,6,-2,3,-1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,6,13,24162.92982,9,4,3,-1,0
27,0,0,3.2,82000,10,0,0,1,0
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
29.69039071,0.032226183,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,3.2,12000,7,2,0,1,2
29.69039071,0.032226183,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
29.69039071,0.032226183,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,1.2,2000,6,2,0,1,3
22,0,0,3.2,24162.92982,7.103284031,4,3,0,2
27,0,0,3.2,22000,8,0,0,1,2
16,-1,7,1.2,210000,7.103284031,-1,-1,-1,0
32,1,12,1.2,122000,4,4,5,0,6
32,0,9,13,42000,9,0,0,-1,4
32,0,6,3.2,2000,7,4,3,0,6
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,0,3.2,12000,2,0,3,1,2
27,0,0,8,12000,8,0,0,1,2
44.2,0,1,13,42000,8,0,0,0,3
27,0,8,0.2,2000,6,2,2,1,2
27,0,7,0.2,2000,3,-2,3,1,6
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,12,3.2,12000,7,2,0,1,4
27,0,2.032242613,3.2,24162.92982,7.103284031,-2,-2,-2,-2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,1,14,13,122000,2,4,3,1,0
22,1,7,1.2,24162.92982,2,-2,0,0,6
37,0,0,13,112000,7,2,0,1,0
37,0,16,3.2,62000,2,-1,2,-1,3
32,0,0,8,82000,8,2,3,-1,3
32,0,8,8,22000,8,3,0,-1,3
16,0,3,8,2000,10,-2,0,0,3
32,0,6,1.2,72000,4,3,3,0,2
27,0,13,3.2,42000,6,2,5,1,6
22,0,0,3.2,32000,7,2,0,1,3
22,0,0,3.2,22000,7,2,0,1,2
27,0,4,13,24162.92982,7,-1,0,0,3
62,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,0.2,24162.92982,3,-2,2,1,2
37,0,12,13,32000,10,0,2,-1,4
27,0,1,8,22000,6,4,3,1,3
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,8,42000,7,2,0,0,0
22,0,3,3.2,12000,8,0,0,0,-2
27,0,0,3.2,2000,9,2,0,0,3
32,0,4,13,24162.92982,2,2,2,0,3
32,0,9,13,62000,9,0,0,0,0
44.2,0,0,13,42000,7,2,0,-2,3
32,0,1,3.2,22000,7,3,3,0,2
37,0,6,13,24162.92982,9,2,0,1,0
22,0,13,3.2,22000,7,0,5,1,2
29.69039071,-2,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,1,8,2000,8,0,0,0,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,8,2000,8,4,0,-1,0
27,1,1,8,2000,8,2,0,0,2
32,0,3,3.2,62000,7,0,0,1,2
27,0,6,3.2,12000,7,2,3,1,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,0.2,2000,6,2,2,1,2
22,0,0,1.2,2000,6,2,0,0,2
27,0,0,8,2000,10,0,0,0,2
27,0,0,8,22000,8,-2,-2,-2,-2
27,0,0,3.2,22000,6,2,0,1,6
22,0,1,3.2,2000,6,0,0,1,0
27,0,16,8,12000,7,4,3,1,2
22,0,3,1.2,24162.92982,3,2,0,1,2
37,0,0,13,12000,7,4,0,0,2
32,0,0,13,24162.92982,9,2,3,0,3
27,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,8,82000,8,0,2,-1,3
37,0,2.032242613,13,122000,8,0,0,1,3
62,0,2.032242613,0.2,102000,1,-2,4,0,3
22,0,7,3.2,24162.92982,7,0,5,1,2
44.2,0,4,13,72000,7,4,5,0,2
22,0,14,3.2,22000,7,2,0,1,2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,3.2,62000,8,2,2,0,2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,1.2,42000,7,2,0,1,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,3.2,22000,9,4,0,0,2
27,0,7,3.2,12000,9,2,0,1,3
32,0,8,0.2,12000,7,-2,0,0,3
22,0,7,8,32000,8,-2,0,0,4
24.2,0,12,13,102000,7,3,2,0,3
44.2,0,9,13,92000,7,0,0,0,-1
37,1,0,13,22000,10,2,0,0,2
27,0,13,3.2,32000,4,2,3,1,0
24.2,0,12,13,92000,9,2,0,1,2
37,0,0,13,92000,9,2,0,0,2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,12,13,24162.92982,6,0,-2,1,-2
27,0,14,8,210000,7.103284031,-2,-2,-2,-2
22,0,1,0.2,12000,3,0,0,0,0
22,0,8,3.2,24162.92982,6,-2,2,-1,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,1,1,3.2,82000,6,0,-2,-2,-2
27,0,2,1.2,12000,6,-2,-2,-2,-2
27,0,0,3.2,24162.92982,2,0,3,1,2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,18,1.2,12000,8,0,0,1,3
27,0.032226183,13,0.2,12000,2,4,2,0,2
27,0,3,1.2,24162.92982,7.103284031,-2,-2,-2,-2
32,0,9,8,62000,10,2,0,1,0
27,0,1,3.2,62000,6,-2,-2,-2,-2
27,0,13,3.2,22000,7,2,0,1,2
16,0,1,3.2,2000,7,2,0,1,2
32,0,0,8,22000,9,2,3,0,6
27,0,3,3.2,2000,8,2,3,1,2
22,1,7,1.2,2000,2,-2,2,0,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,2.032242613,0.2,12000,2,2,2,1,4
32,0,0,3.2,22000,9,3,0,-1,2
32,0,16,3.2,22000,3,3,5,1,6
32,0,0,13,42000,8,3,0,1,0
27,0,6,0.2,22000,4,-2,-2,-2,-2
37,0,9,13,22000,8,4,0,0,0
27,0,17,3.2,2000,7,0,0,0,4
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,8,13,112000,8,4,0,1,4
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,6,8,102000,8,-1,0,-1,2
27,0,0,3.2,2000,8,0,0,0,2
32,0,17,13,42000,7,0,-2,-2,-2
16,0,6,1.2,2000,2,-2,4,0,4
37,0,1,8,22000,7,2,0,-1,2
22,0,8,1.2,2000,8,-2,4,0,3
22,0,7,1.2,24162.92982,8,-2,3,0,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
24.2,0,12,13,22000,8,2,3,0,0
27,0,0,3.2,42000,10,0,-2,-2,-2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,12,1.2,42000,2,2,3,1,2
22,0,3,3.2,12000,6,-2,0,1,0
27,0,8,3.2,12000,7,2,4,1,0
32,0,0,13,24162.92982,8,32,0,0,0
32,0,3,3.2,42000,10,0,0,0,0
32,0,2.032242613,13,22000,8,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,8,2000,8,-2,3,-1,6
32,0,0,8,12000,7,3,0,-1,0
27,0,7,0.2,24162.92982,7,-2,0,0,3
27,0,1,1.2,32000,7.103284031,0,2,-1,0
27,0,2.032242613,3.2,22000,7,2,0,1,3
32,0,3,8,42000,7,2,0,0,6
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,3.2,24162.92982,7,-2,4,0,4
22,0,0,1.2,2000,6,4,2,1,2
27,0,0,8,32000,9,2,0,1,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,6,1.2,22000,6,2,0,1,2
27,0,1,3.2,22000,7,4,0,0,3
16,0,7,3.2,24162.92982,7,-2,2,1,2
27,0,7,3.2,2000,7,-2,3,1,2
32,-1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,0,1.2,2000,4,4,-2,-2,-2
16,0,7,8,24162.92982,6,-2,5,0,3
22,0,1,3.2,42000,6,2,0,0,2
29.69039071,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,4,13,72000,7,2,3,1,0
22,0,7,3.2,24162.92982,8,-2,2,0,0
22,1,7,0.2,2000,2,0,2,0,2
32,0,2.032242613,8,42000,4,0,2,0,3
32,0,0,3.2,42000,10,4,0,1,4
22,0,7,8,24162.92982,8,-2,0,0,3
32,0,19,8,42000,10,2,0,1,0
44.2,0,6,13,24162.92982,7,-2,-2,-2,-2
27,0,8,3.2,22000,8,0,0,0,3
22,0,7,8,22000,8,-2,0,1,4
32,1,11,1.2,32000,3,3,3,0,2
32,0,6,3.2,24162.92982,6,0,0,-1,0
27,0,8,8,22000,8,4,0,0,3
27,0,8,3.2,72000,7,2,0,0,2
22,0,0,3.2,12000,7.103284031,-2,-2,-2,-2
32,0,0,3.2,32000,7,2,3,0,2
32,0,16,13,32000,7,4,0,1,3
32,1,2.032242613,3.2,32000,2,0,0,0,4
32,0,12,8,24162.92982,7,2,3,-1,3
32,0,0,13,62000,9,0,0,1,2
22,0,3,8,24162.92982,7,-2,2,1,-2
22,0,8,3.2,2000,8,0,0,1,6
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,14,8,24162.92982,3,0,-2,1,4
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,13,1.2,102000,7,0,0,-2,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,12,13,42000,10,3,0,1,0
32,0,0,8,24162.92982,7,0,0,0,0
37,0,1,13,42000,7,3,0,1,2
22,0,12,1.2,12000,8,0,0,1,3
32,0,14,8,62000,2,2,3,1,4
27,0,1,1.2,2000,8,4,0,0,-2
27,0,0,8,12000,8,0,0,1,4
37,0,1,8,24162.92982,7,2,2,1,3
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,3.2,22000,10,-2,-2,-2,-2
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,0.2,2000,8,0,0,1,2
27,0,0,3.2,24162.92982,7,3,0,0,2
22,1,2.032242613,0.2,2000,2,-2,3,0,6
22,0,0,8,2000,8,0,2,0,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,7,3.2,24162.92982,2,-2,-2,-2,-2
27,0,0,1.2,2000,8,-2,-2,-2,-2
27,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,1,3,1.2,2000,6,3,0,-1,3
32,0,0,8,12000,8,0,2,1,3
22,0,0,0.2,2000,8,2,0,1,3
22,1,0,1.2,24162.92982,7,2,2,1,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,0.2,142000,6,-2,3,1,-2
32,0,12,3.2,42000,2,2,5,-1,4
27,0,12,3.2,2000,6,4,0,1,3
22,0,7,0.2,24162.92982,3,-2,4,1,4
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
29.69039071,0.032226183,1,1.2,12000,8,0,0,1,2
27,0,3,3.2,2000,7,2,0,1,3
27,0,8,13,12000,7,0,0,1,4
22,1,7,3.2,24162.92982,9,-2,2,1,0
27,0,1,3.2,2000,6,4,0,1,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0.032226183,2.032242613,6.268620699,24162.92982,4,-2,0,1,-2
